model,window_type,tweets_processed,skip_rows,accuracy,precision,recall,f1,balanced_accuracy
naive_bayes,final_cumulative,1595000,5000,0.6557245490436044,0.7006841809656226,0.5430941472251635,0.6119056251594623,0.6556670274417874
logistic_regression,final_cumulative,1595000,5000,0.7301423197492163,0.724714563249597,0.7417738479372519,0.7331449824451765,0.7301482673816511
arf,final_cumulative,1595000,5000,0.7353227180706696,0.6921935776223547,0.8470377321563884,0.7618271204303089,0.7353797721737667
